q_train_1	r_ginza_moon	2
q_train_1	r_ginza_tempura	1
q_train_2	r_shibuya_blossom	2
q_train_2	r_ginza_kids	1
q_train_3	r_ebisu_yakitori	2
q_train_4	r_shibuya_veggie	2
q_train_4	r_shibuya_blossom	1
q_train_5	r_daikanyama_bakery	2
q_train_6	r_asakusa_tempura	2
q_train_6	r_ginza_tempura	1
q_train_7	r_ginza_kids	2
q_train_7	r_ginza_tempura	1
q_train_8	r_ginza_kids	2
q_train_8	r_ginza_tempura	1
q_train_9	r_shibuya_veggie	2
q_train_9	r_shibuya_blossom	1
q_train_10	r_daikanyama_bakery	2
q_train_11	r_ginza_tempura	2
q_train_11	r_asakusa_tempura	1
q_train_12	r_ebisu_yakitori	2
q_train_13	r_asakusa_tempura	2
q_train_13	r_ginza_tempura	1
q_train_14	r_ginza_kids	2
q_train_14	r_ginza_tempura	1
q_train_15	osm_node_961344243	2
q_train_15	osm_node_417004358	1
q_train_16	osm_node_601599341	2
q_train_16	osm_node_4385242114	1
q_train_17	osm_node_4236761189	2
q_train_17	osm_node_4135079291	1
q_train_18	osm_node_2296910393	2
q_train_18	osm_node_2310663182	1
q_train_19	osm_node_4442339790	2
q_train_19	osm_node_2062630049	1
q_train_20	osm_node_1289179904	2
q_train_20	osm_node_3485534285	1
q_train_21	osm_node_527990900	2
q_train_21	osm_node_2833316242	1
q_train_22	osm_node_861699603	2
q_train_22	osm_node_2495743498	1
q_train_23	osm_node_2050781289	2
q_train_23	osm_node_1822580076	1
q_train_24	osm_node_953535491	2
q_train_24	osm_node_3595913285	1
q_train_25	osm_node_1840879531	2
q_train_25	osm_node_2478511090	1
q_train_26	osm_node_3294062828	2
q_train_26	osm_node_2158524768	1
q_train_27	osm_node_2310936412	2
q_train_27	osm_node_2319534603	1
q_train_28	osm_node_820360473	2
q_train_28	osm_node_1319170075	1
q_train_29	osm_node_620338103	2
q_train_29	osm_node_4459923691	1
q_train_30	osm_node_739485747	2
q_train_30	osm_node_1539076386	1
q_train_31	osm_node_2293545388	2
q_train_31	osm_node_3052029178	1
q_train_32	osm_node_1798841218	2
q_train_32	osm_node_2289927535	1
q_train_33	osm_node_1945834581	2
q_train_33	osm_node_1993131259	1
q_train_34	osm_node_1166753020	2
q_train_34	osm_node_4652695791	1
q_train_35	osm_node_2312825237	2
q_train_35	osm_node_2319184399	1
q_train_36	osm_node_4718424748	2
q_train_36	osm_node_988743083	1
q_train_37	osm_node_3537652495	2
q_train_37	osm_node_671204427	1
q_train_38	osm_node_1645714537	2
q_train_38	osm_node_765068438	1
q_train_39	osm_node_2312825237	2
q_train_39	osm_node_1862490709	1
q_train_40	osm_node_299215850	2
q_train_40	osm_node_2147379612	1
q_train_41	osm_node_3135025611	2
q_train_41	osm_node_1600714655	1
q_train_42	osm_node_2210586828	2
q_train_42	osm_node_506041253	1
q_train_43	osm_node_5115755647	2
q_train_43	osm_node_1174840355	1
q_train_44	osm_node_829922301	2
q_train_44	osm_node_300646060	1
q_train_45	osm_node_5164216916	2
q_train_45	osm_node_5045641777	1
q_train_46	osm_node_1490387018	2
q_train_46	osm_node_3686522738	1
q_train_47	osm_node_2202651476	2
q_train_47	osm_node_2326883004	1
q_train_48	osm_node_3104844882	2
q_train_48	osm_node_580366615	1
q_train_49	osm_node_995971368	2
q_train_49	osm_node_417434054	1
q_train_50	osm_node_4305877689	2
q_train_50	osm_node_2072410137	1
q_train_51	osm_node_2157073846	2
q_train_51	osm_node_758151772	1
q_train_52	osm_node_990952273	2
q_train_52	osm_node_3264649976	1
q_train_53	osm_node_4305382690	2
q_train_53	osm_node_1955167168	1
q_train_54	osm_node_774140031	2
q_train_54	osm_node_975783437	1
q_train_55	osm_node_2548201287	2
q_train_55	osm_node_5224302721	1
q_train_56	osm_node_2293447248	2
q_train_56	osm_node_735116714	1
q_train_57	osm_node_2354358957	2
q_train_57	osm_node_971466865	1
q_train_58	osm_node_2165293375	2
q_train_58	osm_node_2246473853	1
q_train_59	osm_node_5021240769	2
q_train_59	osm_node_5184934382	1
q_train_60	osm_node_288184604	2
q_train_60	osm_node_1319170075	1
q_train_61	osm_node_300477338	2
q_train_61	osm_node_2536032343	1
q_train_62	osm_node_4267857691	2
q_train_62	osm_node_2138576974	1
q_train_63	osm_node_1633788932	2
q_train_63	osm_node_988923538	1
q_train_64	osm_node_2820784412	2
q_train_64	osm_node_2299215172	1
q_train_65	osm_node_5065256554	2
q_train_65	osm_node_5096742222	1
q_train_66	osm_node_2310918124	2
q_train_66	osm_node_3521290858	1
